form	count	suttas	gloss	headword
bhāvayitvā	1	Iti 22	having developed (poetic)	bhāveti
sukhasamuddaye	1	Iti 22	bringing about happiness (acc. pl.)	sukhasamudaya
Abyāpajjaṁ	1	Iti 22	free of ill will (acc.)	abyāpajja
sukhaṁ	1	Iti 22	happy, happiness (acc.)	sukha
Ekapuggalassa	1	Iti 24	of a single person (gen.)	ekapuggala
sandhāvato	1	Iti 24	wandering on (gen. pres. part.)	sandhāvati
aṭṭhikaṅkalo	1	Iti 24	chain, skeleton of bones (nom.)	aṭṭhikaṅkala
aṭṭhipuñjo	1	Iti 24	pile of bones (nom.)	aṭṭhipuñja
aṭṭhirāsi	1	Iti 24	heap of bones	aṭṭhirāsi
saṁhārako	1	Iti 24	a collector (of the bones) (nom.)	saṁhāraka
vinasseyyā”ti	1	Iti 24	'were (not) destroyed' (quote, opt.)	vinassati
Ekassekena	1	Iti 24	by one single (person) (ekassa + ekena)	eka
puggalassaṭṭhisañcayo	1	Iti 24	a person's accumulation of bones (puggalassa + aṭṭhisañcayo)	aṭṭhisañcaya
pabbatasamo	1	Iti 24	equal to a mountain (nom.)	pabbatasama
rāsi	1	Iti 24	heap (nom.)	rāsi
mahesinā	1	Iti 24	by the great sage (instr.)	mahesi
gijjhakūṭassa	1	Iti 24	of Vulture Peak (gen.)	gijjhakūṭa
magadhānaṁ	1	Iti 24	of the Magadhans (gen. pl.)	magadha
giribbaje	1	Iti 24	in Giribbaja (mountain fortress of Rājagaha) (loc.)	giribbaja
sammappaññāya	1	Iti 24	with right wisdom (instr.)	sammappaññā
dukkhasamuppādaṁ	1	Iti 24	the arising of suffering (acc.)	dukkhasamuppāda
Ariyañcaṭṭhaṅgikaṁ	1	Iti 24	and the noble eightfold (path) (ariyaṁ + ca + aṭṭhaṅgikaṁ)	aṭṭhaṅgika
sattakkhattuṁ	1	Iti 24	seven times	sattakkhattuṁ
paramaṁ	1	Iti 24	at most	parama
sandhāvitvāna	1	Iti 24	having wandered on (poetic)	sandhāvati
Dukkhassantakaro	1	Iti 24	maker of an end of suffering (dukkhassa + antakaro)	antakara
sabbasaṁyojanakkhayā”ti	1	Iti 24	'through the destruction of all fetters' (quote)	sabbasaṁyojanakkhaya
